year,Pakistan,Afghanistan,Iran,Azerbaijan,Turkey,Iraq,Qatar,United_Arab_Emirates
1,4,3,51,12,20,79,73,109
2,0,3,46,23,18,56,73,112
3,3,0,47,23,20,60,63,116
4,3,0,50,21,20,82,73,110
5,3,2,53,19,20,90,75,111
6,3,2,48,18,19,100,84,107
7,3,2,50,14,18,106,89,109
8,5,4,47,10,20,97,69,95
9,0,1,44,13,17,82,56,107
10,3,0,42,11,18,93,62,126
11,3,0,43,14,18,122,72,121
12,3,0,46,8,17,114,70,119
13,3,0,43,11,17,119,80,113
14,3,0,44,6,17,120,78,102
15,3,0,42,4,17,105,80,64
16,3,0,41,13,18,89,83,87
17,3,1,39,11,18,109,71,110
18,3,0,43,10,20,117,79,103
19,4,0,42,16,21,114,88,103
20,4,1,43,15,22,129,91,111
21,2,2,45,10,21,120,111,87
22,3,1,40,9,21,97,81,69
23,3,0,37,15,19,87,81,69
24,3,3,34,15,19,99,81,83
25,3,1,37,12,22,110,79,89
26,3,0,34,12,20,110,86,80
27,3,0,36,14,22,111,83,86
28,3,1,33,11,21,107,84,69
29,2,3,32,8,21,106,83,80
30,2,2,25,15,19,90,77,66
31,2,1,26,13,18,104,83,103
32,3,1,28,16,20,108,83,95
33,2,1,25,14,18,117,73,95
34,1,1,28,17,20,108,94,90
35,2,1,28,14,21,124,82,66
36,2,3,26,9,21,110,89,48
37,2,2,24,14,19,93,82,53
38,2,1,23,16,20,118,80,72
39,2,0,24,13,20,128,77,63
40,2,1,24,17,20,121,76,63
41,2,1,22,15,19,100,75,75
42,2,0,20,14,19,87,76,59
43,1,1,20,13,19,96,72,55
